Date,Pret_SP,Volum_SP,Pret_ADBE,Volum_APPL,Pret_GOOGL
10/31/2022,3871.98,4820620000,318.5,3253200,94.51
11/1/2022,3856.1,4481210000,316.02,2467700,90.47
11/2/2022,3759.69,4899000000,301.22,3480000,86.97
11/3/2022,3719.89,4625290000,285.93,4897100,83.43
11/4/2022,3770.55,5400180000,285.75,5738300,86.58
11/7/2022,3806.8,4341620000,299.54,3980700,88.49
11/8/2022,3828.11,4607640000,302.17,4230600,88.90
11/9/2022,3748.57,4645010000,298.87,2778200,87.32
11/10/2022,3956.37,5781260000,329.95,5502900,93.94
11/11/2022,3992.93,5593310000,341.15,4110100,96.41
11/14/2022,3957.25,4561930000,340.37,3464500,95.70
11/15/2022,3991.73,5015310000,345.96,2948600,98.44
11/16/2022,3958.79,4165320000,338.41,2123200,98.85
11/17/2022,3946.56,4051780000,337.83,2740400,98.36
11/18/2022,3965.34,4037360000,330.86,3421700,97.43
11/21/2022,3949.94,3850690000,321.49,3219900,95.60
11/22/2022,4003.58,3887990000,330.88,2573800,97.05
11/23/2022,4027.26,3279720000,335.78,2240800,98.46
11/25/2022,4026.12,1706460000,334.3,1197800,97.46
11/28/2022,3963.94,3615430000,328.97,2314800,96.05
11/29/2022,3957.63,3546040000,326.78,2392600,95.19
11/30/2022,4080.11,6579360000,344.93,4979800,100.99
12/1/2022,4076.57,4527130000,344.11,3365200,100.99
12/2/2022,4071.7,4012620000,341.53,2741800,100.44
12/5/2022,3998.84,4280820000,334.09,2542300,99.48
12/6/2022,3941.26,4368380000,331.15,2182200,96.98
12/7/2022,3933.92,4118050000,326.68,2055900,94.94
12/8/2022,3963.51,4006900000,332.58,2065800,93.71
12/9/2022,3934.38,3888260000,330.64,1969200,92.83
12/12/2022,3990.56,3904130000,338.17,2914700,93.31
12/13/2022,4019.65,5079360000,342.46,3428000,95.63
12/14/2022,3995.32,4472340000,339.92,3236500,95.07
12/15/2022,3895.75,4493900000,328.71,5498700,90.86
12/16/2022,3852.36,7493660000,338.54,11940700,90.26
12/19/2022,3817.66,3969610000,328.76,4086300,88.44
12/20/2022,3821.62,3985370000,338.22,3873600,89.02
12/21/2022,3878.44,3775200000,341.38,2583000,89.58
12/22/2022,3822.39,3956950000,336.52,2319300,87.76
12/23/2022,3844.82,2819280000,338.45,1629800,89.23
12/27/2022,3829.25,3030300000,335.09,1464300,87.39
12/28/2022,3783.22,3083520000,328.33,1672100,86.02
12/29/2022,3849.28,3003680000,337.58,1793100,88.45
12/30/2022,3839.5,2979870000,336.53,1740900,88.23
1/3/2023,3824.14,3959140000,336.92,2229100,89.12
1/4/2023,3852.97,4414080000,341.41,2186800,88.08
1/5/2023,3808.1,3893450000,328.44,2081600,86.20
1/6/2023,3895.08,3923560000,332.75,2216600,87.34
1/9/2023,3892.09,4311770000,341.98,3133800,88.02
1/10/2023,3919.25,3851030000,338.7,1670200,88.42
1/11/2023,3969.61,4303360000,342.93,2344400,91.52
1/12/2023,3983.17,4440260000,344.54,2121800,91.13
1/13/2023,3999.09,3939700000,344.38,2581900,92.12
1/17/2023,3990.97,4235560000,344.38,2512700,91.29
1/18/2023,3928.86,4298710000,341.31,2079800,91.12
1/19/2023,3898.85,3991500000,342.53,2467000,93.05
1/20/2023,3972.61,4013360000,356.38,3149400,98.02
1/23/2023,4019.81,3945210000,364.98,3187100,99.79
1/24/2023,4016.95,3320430000,361.32,2466400,97.70
1/25/2023,4016.22,3724020000,358.17,2239100,95.22
1/26/2023,4060.43,3809590000,365.82,2350500,97.52
1/27/2023,4070.56,3907760000,370.71,2615600,99.37
1/30/2023,4017.77,3802000000,363.42,2663600,96.94
1/31/2023,4076.6,4679320000,370.34,2572400,98.84
2/1/2023,4119.21,4856930000,383.92,3362000,100.43
2/2/2023,4179.76,5624360000,392.23,4020000,107.74
2/3/2023,4136.48,4694510000,379.33,2695400,104.78
2/6/2023,4111.08,4114240000,375.23,2369600,102.90
2/7/2023,4164,4355860000,383.82,2476200,107.64
2/8/2023,4117.86,4029820000,378.36,2668100,99.37
2/9/2023,4081.5,4270200000,375.81,2265200,95.01
2/10/2023,4090.46,3891520000,370.99,1846300,94.57
2/13/2023,4137.29,3448620000,375,1877300,94.61
2/14/2023,4136.13,3929200000,377.9,2479700,94.68
2/15/2023,4147.6,4075980000,375.94,2088200,96.94
2/16/2023,4090.41,4143660000,365.16,2917000,95.51
2/17/2023,4079.09,4045480000,356.85,2985700,94.35
2/21/2023,3997.34,4121590000,346.7,3002700,91.79
2/22/2023,3991.05,4079320000,348.72,2599300,91.65
2/23/2023,4012.32,3952940000,347.02,3154500,90.89
2/24/2023,3970.04,3877700000,320.54,8444500,89.13
